Time,Latitude,Longitude,counts
1713997620.18,0,0,583.5
1713997622.18,0,0,76.0
1713997624.17,0,0,59.5
1713997626.15,0,0,59.5
1713997628.17,0,0,69.5
1713997630.17,0,0,61.0
1713997632.17,0,0,66.0
1713997634.17,0,0,66.5
1713997636.15,0,0,66.5
1713997638.17,0,0,57.5
1713997640.17,0,0,66.5
1713997642.17,0,0,69.5
1713997644.15,0,0,69.5
1713997646.18,0,0,68.0
1713997648.17,0,0,64.0
1713997650.18,0,0,72.5
1713997652.18,0,0,74.5
1713997654.15,0,0,74.5
1713997656.18,0,0,76.0
1713997658.17,0,0,72.0
1713997660.17,0,0,75.5
1713997662.17,0,0,63.0
1713997664.16,0,0,63.0
1713997666.17,0,0,73.0
1713997668.17,0,0,78.0
1713997670.17,0,0,71.5
1713997672.15,0,0,71.5
1713997674.17,0,0,64.0
1713997676.17,0,0,73.0
1713997678.17,0,0,72.5
1713997680.17,0,0,70.0
1713997682.15,0,0,70.0
1713997684.17,0,0,85.0
1713997686.17,0,0,68.5
1713997688.17,0,0,73.5
1713997690.15,0,0,73.5
1713997692.17,0,0,63.0
1713997694.17,0,0,59.5
1713997696.17,0,0,64.5
1713997698.17,0,0,72.5
1713997700.15,0,0,72.5
1713997702.17,0,0,75.0
1713997704.17,0,0,63.5
1713997706.17,0,0,70.0
1713997708.17,0,0,83.5
1713997710.17,0,0,83.5
1713997712.17,0,0,68.0
1713997714.17,0,0,83.5
1713997716.17,0,0,72.5
1713997718.15,0,0,72.5
1713997720.17,0,0,73.0
1713997722.17,0,0,64.5
1713997724.17,0,0,70.0
1713997726.17,0,0,59.5
1713997728.15,0,0,59.5
1713997730.17,0,0,71.0
1713997732.17,0,0,71.0
1713997734.17,0,0,78.5
1713997736.15,0,0,78.5
1713997738.18,0,0,68.5
1713997740.17,0,0,71.0
1713997742.18,0,0,72.5
1713997744.18,0,0,70.0
1713997746.15,0,0,70.0
1713997748.17,0,0,77.0
1713997750.17,0,0,69.5
1713997752.17,0,0,80.0
1713997754.17,0,0,76.5
1713997756.16,0,0,76.5
1713997758.17,0,0,76.0
1713997760.17,0,0,75.0
1713997762.17,0,0,68.0
1713997764.15,0,0,68.0
1713997766.17,0,0,74.0
1713997768.17,0,0,62.0
1713997770.17,0,0,58.0
1713997772.17,0,0,70.0
1713997774.15,0,0,70.0
1713997776.17,0,0,68.0
1713997778.17,0,0,74.0
1713997780.17,0,0,73.0
1713997782.18,0,0,63.5
1713997784.16,0,0,63.5
1713997786.18,0,0,68.5
1713997788.17,0,0,67.5
1713997790.17,0,0,76.5
1713997792.16,0,0,76.5
1713997794.17,0,0,77.5
1713997796.17,0,0,75.0
1713997798.17,0,0,75.0
1713997800.17,0,0,77.0
1713997802.15,0,0,77.0
1713997804.18,0,0,77.5
1713997806.17,0,0,69.0
1713997808.17,0,0,77.5
1713997810.15,0,0,77.5
1713997812.17,0,0,73.5
1713997814.18,0,0,57.5
1713997816.18,0,0,78.0
1713997818.17,0,0,86.0
1713997820.16,0,0,86.0
1713997822.17,0,0,67.5
1713997824.17,0,0,69.5
1713997826.17,0,0,79.0
1713997828.17,0,0,65.5
1713997830.16,0,0,65.5
1713997832.17,0,0,67.0
1713997834.17,0,0,67.5
1713997836.17,0,0,78.0
1713997838.15,0,0,78.0
1713997840.17,0,0,79.0
1713997842.17,0,0,69.0
1713997844.17,0,0,69.5
1713997846.17,0,0,70.5
1713997848.15,0,0,70.5
1713997850.17,0,0,58.5
1713997852.17,0,0,76.0
1713997854.17,0,0,68.0
1713997856.17,0,0,82.0
1713997858.17,0,0,82.0
1713997860.17,0,0,79.5
1713997862.17,0,0,74.0
1713997864.17,0,0,64.5
1713997866.15,0,0,64.5
1713997868.17,0,0,75.0
1713997870.17,0,0,56.0
1713997872.17,0,0,70.0
1713997874.17,0,0,83.5
1713997876.16,0,0,83.5
1713997878.17,0,0,77.5
1713997880.18,0,0,75.5
1713997882.17,0,0,67.0
1713997884.15,0,0,67.0
1713997886.17,0,0,87.5
1713997888.17,0,0,73.0
1713997890.17,0,0,64.5
1713997892.17,0,0,70.0
1713997894.15,0,0,70.0
1713997896.19,0,0,79.5
1713997898.17,0,0,71.0
1713997900.17,0,0,74.0
1713997902.17,0,0,71.5
1713997904.17,0,0,71.5
1713997906.17,0,0,61.5
1713997908.17,0,0,62.5
1713997910.17,0,0,71.5
1713997912.15,0,0,71.5
1713997914.17,0,0,84.0
1713997916.17,0,0,61.0
1713997918.17,0,0,74.5
1713997920.18,0,0,74.0
1713997922.15,0,0,74.0
1713997924.17,0,0,77.0
