Time,Latitude,Longitude,counts
1713997176.64,0,0,5590.5
1713997178.65,0,0,83.0
1713997180.62,0,0,93.5
1713997182.6,0,0,93.5
1713997184.62,0,0,90.0
1713997186.62,0,0,88.0
1713997188.62,0,0,97.5
1713997190.62,0,0,78.0
1713997192.6,0,0,78.0
1713997194.65,0,0,102.0
1713997196.62,0,0,94.0
1713997198.62,0,0,95.0
1713997200.6,0,0,95.0
1713997202.63,0,0,89.5
1713997204.62,0,0,86.0
1713997206.63,0,0,86.0
1713997208.63,0,0,100.5
1713997210.6,0,0,100.5
1713997212.62,0,0,90.0
1713997214.63,0,0,98.5
1713997216.63,0,0,83.0
1713997218.62,0,0,73.5
1713997220.62,0,0,73.5
1713997222.62,0,0,96.5
1713997224.63,0,0,98.0
1713997226.62,0,0,105.5
1713997228.61,0,0,105.5
1713997230.62,0,0,78.5
1713997232.63,0,0,89.0
1713997234.62,0,0,79.5
1713997236.62,0,0,83.5
1713997238.62,0,0,83.5
1713997240.62,0,0,77.5
1713997242.62,0,0,90.5
1713997244.62,0,0,85.0
1713997246.6,0,0,85.0
1713997248.62,0,0,86.0
1713997250.63,0,0,113.5
1713997252.63,0,0,93.0
1713997254.62,0,0,97.0
1713997256.6,0,0,97.0
1713997258.62,0,0,84.0
1713997260.62,0,0,93.5
1713997262.63,0,0,88.5
1713997264.63,0,0,87.5
1713997266.62,0,0,87.5
1713997268.62,0,0,83.0
1713997270.63,0,0,90.0
1713997272.62,0,0,84.0
1713997274.6,0,0,84.0
1713997276.63,0,0,91.0
1713997278.63,0,0,83.0
1713997280.63,0,0,93.0
1713997282.63,0,0,95.5
1713997284.61,0,0,95.5
1713997286.63,0,0,100.5
1713997288.62,0,0,95.5
1713997290.63,0,0,90.5
1713997292.62,0,0,84.0
1713997294.6,0,0,84.0
1713997296.63,0,0,86.0
1713997298.62,0,0,87.0
1713997300.62,0,0,85.0
1713997302.6,0,0,85.0
1713997304.63,0,0,91.0
1713997306.62,0,0,85.0
1713997308.62,0,0,85.5
1713997310.63,0,0,83.5
1713997312.6,0,0,83.5
1713997314.63,0,0,80.5
1713997316.62,0,0,87.0
1713997318.63,0,0,81.5
1713997320.62,0,0,82.5
1713997322.6,0,0,82.5
1713997324.62,0,0,83.0
1713997326.62,0,0,83.0
1713997328.62,0,0,84.5
1713997330.61,0,0,84.5
1713997332.63,0,0,94.5
1713997334.62,0,0,88.5
1713997336.62,0,0,93.5
1713997338.62,0,0,84.5
1713997340.6,0,0,84.5
1713997342.62,0,0,90.5
1713997344.62,0,0,89.0
1713997346.63,0,0,99.5
1713997348.62,0,0,91.5
1713997350.6,0,0,91.5
1713997352.62,0,0,89.5
1713997354.63,0,0,86.0
1713997356.63,0,0,102.5
1713997358.6,0,0,102.5
1713997360.62,0,0,81.0
1713997362.62,0,0,83.0
1713997364.62,0,0,103.5
1713997366.62,0,0,80.0
1713997368.62,0,0,80.0
1713997370.63,0,0,93.0
1713997372.62,0,0,94.0
1713997374.62,0,0,90.0
1713997376.62,0,0,89.0
1713997378.61,0,0,89.0
1713997380.63,0,0,89.5
1713997382.63,0,0,82.5
1713997384.62,0,0,93.5
1713997386.6,0,0,93.5
1713997388.63,0,0,94.0
1713997390.62,0,0,75.5
1713997392.62,0,0,98.5
1713997394.63,0,0,87.0
1713997396.6,0,0,87.0
1713997398.62,0,0,89.5
1713997400.63,0,0,85.5
1713997402.62,0,0,78.0
1713997404.63,0,0,90.5
1713997406.61,0,0,90.5
1713997408.62,0,0,89.5
1713997410.62,0,0,89.5
1713997412.62,0,0,95.5
1713997414.6,0,0,95.5
1713997416.62,0,0,102.0
1713997418.62,0,0,89.5
1713997420.63,0,0,83.0
1713997422.63,0,0,93.5
1713997424.61,0,0,93.5
1713997426.63,0,0,78.0
1713997428.62,0,0,93.0
1713997430.62,0,0,91.0
1713997432.63,0,0,74.5
1713997434.61,0,0,74.5
1713997436.62,0,0,75.0
1713997438.62,0,0,89.0
1713997440.63,0,0,73.0
1713997442.6,0,0,73.0
1713997444.63,0,0,95.0
1713997446.62,0,0,80.5
1713997448.63,0,0,87.5
1713997450.62,0,0,90.0
1713997452.6,0,0,90.0
1713997454.62,0,0,92.0
1713997456.62,0,0,84.5
1713997458.63,0,0,82.5
1713997460.64,0,0,82.0
1713997462.6,0,0,82.0
1713997464.63,0,0,83.5
1713997466.63,0,0,84.0
1713997468.63,0,0,87.0
1713997470.61,0,0,87.0
1713997472.63,0,0,95.0
1713997474.62,0,0,82.0
1713997476.62,0,0,79.0
1713997478.62,0,0,76.5
1713997480.6,0,0,76.5
1713997482.63,0,0,90.5
1713997484.63,0,0,92.0
1713997486.63,0,0,92.0
1713997488.6,0,0,92.0
1713997490.62,0,0,82.0
1713997492.62,0,0,82.0
1713997494.62,0,0,93.0
1713997496.62,0,0,94.0
1713997498.6,0,0,94.0
1713997500.62,0,0,78.5
1713997502.62,0,0,86.5
1713997504.62,0,0,93.0
1713997506.63,0,0,93.0
1713997508.61,0,0,93.0
1713997510.62,0,0,89.0
1713997512.62,0,0,78.5
1713997514.62,0,0,87.0
1713997516.6,0,0,87.0
